,average tilted,name
635,-63.76257550712317,W NORTON MEDLICOTT
636,-77.19357994691846,ARNALDO  MOMIGLIANO
637,-80.00000000000001,CHARLES C GILLISPIE
638,-75.0,EDWARD GAYLORD BOURNE
639,-75.0,ALLAN B COLE
640,-85.43926806768745,DANIEL K RICHTER
641,-57.98067895107806,ADOLPHUS WILLIAM WARD
642,-78.75,EMANUEL  ADLER
643,-79.49071533754282,LAURO  MARTINES
644,-70.01276527436752,MALCOLM CHARLES MOOS
645,-85.43926806768745,TIMOTHY SCOTT BROWN
646,-50.35798454509796,EDWARD WILLIAM LANE
647,-75.00957379275087,PAUL V TURNER
648,-75.0,NETTIE LEE BENSON
649,-75.0,ALOYS  FISCHER
650,-75.0,JOHN  LARSON
651,-70.01276527436752,LEWIS  ATHERTON
652,-75.0,BARBARA  COLEMAN
653,-75.0,JOHN EDWIN FAGG
654,-75.0,EDWIN J PERKINS
655,-53.58216952640695,HENRY WARREN TORREY
656,-75.0,JACOB  EYFERTH
657,-85.811940708482,DAVID M POTTER
658,-75.0,ROGER D GRIFFIN
659,-75.0,MICHAEL  TAHLIN
660,-80.00000000000001,J M THOMPSON
661,-75.0,OWEN  DUDLEY-EDWARDS
